"yy","gr_id","ez_id","flag_id","in_arch","sum_days","sum_alb_c","sum_bet_c","sum_skj_c","sum_yft_c"
1990,"G","I6","JP",FALSE,0,9885,61,8326,49
1990,"G","I6","TW",FALSE,0,1859,0,0,0
1990,"H","ID","ID",FALSE,0,0,33.4,0,1049.4
1990,"H","ID","ID",TRUE,0,0,133.6,0,4197.6
1990,"H","PH","PH",FALSE,0,0,55.6,0,1802.4
1990,"H","PH","PH",TRUE,0,0,222.4,0,7209.6
1990,"K","PH","PH",TRUE,0,0,3962,9444,36049
1990,"L","AU","AU",FALSE,3034.393,268.534819,29.397122,63,789.720129
1990,"L","AU","JP",FALSE,7541.987,1621.170987,779.047112,8.145,2748.8659
1990,"L","CK","KR",FALSE,337.846,97.94,35.049,1.451,94.738
1990,"L","CK","TW",FALSE,388,224.211,23.331,1.622,32.543
1990,"L","CN","JP",FALSE,3.077,0.454021,0.963017,0.011,1.677
1990,"L","FJ","FJ",FALSE,429,13.097452,5.200459,0,4.430021
1990,"L","FJ","FJ",TRUE,0,54.902548,21.799541,0,18.569979
1990,"L","FJ","TW",FALSE,17,6.665,0.245,0,0.494
1990,"L","FM","CN",FALSE,8,0,0.66,0,0.9
1990,"L","FM","JP",FALSE,13741.764,9.217013,8067.206831,0,6771.066138
1990,"L","FM","KR",FALSE,13.896,0,7.15,0,1.17
1990,"L","FM","TW",FALSE,686,5.801,120.03,0,124.401
1990,"L","GL","JP",FALSE,196.721,0.269939,73.474086,0,119.672003
1990,"L","GL","KR",FALSE,1083.885,4.066023,532.858309,0.149486,468.462668
1990,"L","GL","KR",TRUE,0,0.013977,1.831691,0.000514,1.610332
1990,"L","H4","KR",FALSE,99.009,10.837,49.391,0.027,41.304
1990,"L","H5","KR",FALSE,186.727,9.337,78.687,0.497,109.009
1990,"L","H5","TW",FALSE,19,6.745,1.033,0,6.442
1990,"L","HW","JP",FALSE,0.038,0.002019,0.011003,0,0.017004
1990,"L","HW","US",FALSE,307.823,75.836388,1064.792802,0,689.984297
1990,"L","I1","CN",FALSE,267,0.443,48.183,0,30.686
1990,"L","I1","JP",FALSE,4808.862,2.05919,4275.152227,4.318,4156.497447
1990,"L","I1","KR",FALSE,7.816,0,3.19,0,0.69
1990,"L","I1","TW",FALSE,19111.328,1.617,1840.722822,0,2033.8493
1990,"L","I2","JP",FALSE,1280.066,4.226709,1519.949292,0,1795.453028
1990,"L","I2","KR",FALSE,218.861,96.87,73.767,0.481,239.81
1990,"L","I2","TW",FALSE,1,0,0.42,0,0.03
1990,"L","I3","JP",FALSE,3704.946,596.146682,1683.925256,8.121,1928.381818
1990,"L","I3","TW",FALSE,8190.569,0,788.881209,0,871.6497
1990,"L","I4","CN",FALSE,296.866,0,34.943501,0,27.768
1990,"L","I4","JP",FALSE,6624.025,83.446157,6199.208534,0,3482.825519
1990,"L","I4","KR",FALSE,10246.106,0,7180.4545,2.0145,4599.319435
1990,"L","I4","TW",FALSE,6325.578,0,785.39,0,852.2585
1990,"L","I5","CN",FALSE,296.866,0,34.943501,0,27.768
1990,"L","I5","JP",FALSE,5987.153,47.836836,7923.470361,0,1943.692218
1990,"L","I5","KR",FALSE,10246.106,0,7180.4545,2.0145,4599.319435
1990,"L","I5","TW",FALSE,6325.578,0,785.39,0,852.2585
1990,"L","I5","US",FALSE,2,0,6.840988,0,3.481697
1990,"L","I6","JP",FALSE,42611.086,13921.203521,13211.222032,28.281,5148.677568
1990,"L","I6","KR",FALSE,7,4.257,2.033,0,0.336
