ID,lon,lat
1,120,40
1,140,40
1,140,35
1,145,35
1,145,30
1,120,30
1,120,40
2,140,40
2,210,40
2,210,30
2,145,30
2,145,35
2,140,35
2,140,40
3,120,30
3,145,30
3,145,10
3,130,10
3,130,20
3,120,20
3,120,30
4,145,30
4,210,30
4,210,10
4,145,10
4,145,30
5,110,20
5,130,20
5,130,10
5,140,10
5,140,-20
5,110,-20
5,110,20
6,140,0
6,155,0
6,155,-5
6,160,-5
6,160,-20
6,140,-20
6,140,0
7,140,10
7,170,10
7,170,-20
7,160,-20
7,160,-5
7,155,-5
7,155,0
7,140,0
7,140,10
8,170,10
8,210,10
8,210,-20
8,170,-20
8,170,10
